step,train_loss,eval_loss
10,1.0078886985778808,
20,0.8785492897033691,
30,0.8288469314575195,
40,0.8431570053100585,
50,0.8084731101989746,
60,0.8098958015441895,
70,0.7997176647186279,
80,0.8058667182922363,
90,0.7785499095916748,
91,,0.7816194295883179
100,0.4798731803894043,
110,0.3987438440322876,
120,0.41632866859436035,
130,0.40325169563293456,
140,0.4039017200469971,
150,0.42374444007873535,
160,0.42451276779174807,
170,0.4057957649230957,
180,0.39526512622833254,
182,,0.8256634473800659
190,0.31320772171020506,
200,0.2698307275772095,
210,0.27538087368011477,
220,0.2546786546707153,
230,0.2795668601989746,
240,0.28028948307037355,
250,0.27855615615844725,
260,0.28015120029449464,
270,0.28661744594573973,
273,,0.8997184634208679
